4.76E+00,3.78E+00
3.75E+01,3.74E+00
1.29E+02,3.69E+00
2.21E+02,3.66E+00
3.13E+02,3.63E+00
4.14E+02,3.60E+00
5.04E+02,3.57E+00
5.92E+02,3.54E+00
6.86E+02,3.51E+00
7.69E+02,3.49E+00
8.60E+02,3.46E+00
9.61E+02,3.43E+00
1.04E+03,3.40E+00
1.14E+03,3.37E+00
1.23E+03,3.34E+00
1.32E+03,3.30E+00
1.42E+03,3.27E+00
1.51E+03,3.24E+00
1.60E+03,3.21E+00
1.69E+03,3.19E+00
1.79E+03,3.16E+00
1.88E+03,3.13E+00
1.98E+03,3.10E+00
2.07E+03,3.08E+00
2.16E+03,3.05E+00
2.26E+03,3.02E+00
2.35E+03,3.00E+00
2.45E+03,2.97E+00
2.54E+03,2.93E+00
2.64E+03,2.90E+00
2.73E+03,2.87E+00
2.82E+03,2.83E+00
2.90E+03,2.79E+00
3.00E+03,2.75E+00
3.09E+03,2.70E+00
3.18E+03,2.64E+00
3.26E+03,2.54E+00
3.40E+03,2.51E+00
